City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,coihueco,-36.6167,-71.8333,28.753,37,0,2.73,CL,1675316308
285,merrill,45.1805,-89.6835,26.312,72,40,0.0,US,1675316074
286,geraldton,-28.7667,114.6,31.238,24,14,8.75,AU,1675316309
287,carutapera,-1.195,-46.02,29.623000000000005,98,100,2.2,BR,1675316309
288,kargala,56.6208,83.9607,26.091000000000005,87,39,0.85,RU,1675316310
289,ponta do sol,32.6667,-17.1,28.950000000000003,66,81,4.54,PT,1675316310
290,nisia floresta,-6.0911,-35.2086,29.936000000000003,85,77,2.56,BR,1675316310
291,lockhart,28.6194,-81.4426,29.366000000000003,92,23,1.44,US,1675316311
292,esperance,-33.8667,121.9,29.291000000000004,71,98,5.81,AU,1675316311
293,mollendo,-17.0231,-72.0147,29.582,88,94,1.78,PE,1675316311
294,tocopilla,-22.092,-70.1979,29.508,83,59,0.61,CL,1675316312
295,rawson,-43.3002,-65.1023,29.121,78,16,8.45,AR,1675316312
296,nikolskoye,59.7035,30.7861,27.209,95,100,2.64,RU,1675316312
297,guozhen,34.3659,107.359,28.130000000000003,27,100,2.22,CN,1675316313
298,curup,-3.4667,102.5333,30.183,52,97,2.06,ID,1675316313
299,kathmandu,27.7167,85.3167,29.195,45,20,1.54,NP,1675316478
300,coquimbo,-29.9533,-71.3436,28.900000000000002,100,0,0.51,CL,1675316313
301,rio gallegos,-51.6226,-69.2181,28.818,63,0,3.09,AR,1675316314
302,brechin,56.7299,-2.6573,27.945999999999998,95,100,2.22,GB,1675316314
303,vardo,70.3705,31.1107,27.114,74,40,5.14,NO,1675316314
304,talca,-35.4333,-71.6667,28.878,43,0,2.47,CL,1675316315
305,nantucket,41.2835,-70.0995,27.101,76,0,0.0,US,1675316315
306,mugur-aksy,50.35,90.5,26.425,51,66,1.24,RU,1675316315
307,toora-khem,52.4675,96.11,26.049000000000003,87,89,0.64,RU,1675316316
308,shakhtinsk,49.71,72.5872,26.225,92,44,4.88,KZ,1675316316
309,kolpashevo,58.3131,82.9089,25.994,89,48,2.41,RU,1675316316
310,champoton,19.35,-90.7167,29.536,75,39,3.47,MX,1675316317
311,weymouth,42.2209,-70.9398,26.913,63,0,0.89,US,1675316317
312,solntsevo,51.4185,36.7499,27.088,91,82,4.74,RU,1675316318
313,komsomolskiy,40.4272,71.7189,27.755000000000003,60,100,3.09,UZ,1675316318
314,hayden,47.766,-116.7866,27.146,86,75,2.57,US,1675316318
315,vytegra,61.0064,36.4481,26.473000000000003,95,93,3.04,RU,1675316318
316,makakilo city,21.3469,-158.0858,29.833,75,75,2.06,US,1675316319
317,altdorf,49.3875,11.3572,27.637,98,100,7.2,DE,1675316319
318,westport,41.1415,-73.3579,27.245,55,0,1.54,US,1675316109
319,sabang,5.8933,95.3214,30.074,73,97,5.69,ID,1675316320
320,viedma,-40.8135,-62.9967,29.07,80,52,3.47,AR,1675316320
321,luganville,-15.5333,167.1667,30.183,76,54,1.84,VU,1675316320
322,pauini,-7.7136,-66.9764,29.523000000000003,100,99,1.0,BR,1675316321
323,houma,29.5958,-90.7195,28.759,93,100,4.12,US,1675316202
324,saint-francois,46.4154,3.9054,27.584,93,0,0.51,FR,1675316321
325,tiznit,29.5833,-9.5,28.139,38,0,1.53,MA,1675316321
326,touros,-5.1989,-35.4608,29.900000000000002,77,100,4.21,BR,1675316063
327,manono,-7.3,27.4167,29.475,87,29,0.58,CD,1675316322
328,lasa,46.6166,10.7002,27.664,93,56,3.44,IT,1675316322
329,andros town,24.7,-77.7667,29.513,78,15,5.18,BS,1675316322
330,tezu,27.9167,96.1667,30.187,16,0,1.85,IN,1675316323
331,san policarpo,12.1791,125.5072,30.044,82,32,6.45,PH,1675316323
332,moose factory,51.2585,-80.6094,25.014,84,100,3.6,CA,1675316323
333,wuppertal,51.2667,7.1833,28.035000000000004,94,100,5.99,DE,1675316324
334,hofn,64.2539,-15.2082,27.229000000000003,80,97,7.05,IS,1675316324
335,izmalkovo,52.6887,37.964,26.876,93,93,3.72,RU,1675316325
336,ngama,11.7833,17.1667,29.35,24,4,5.08,TD,1675316325
337,roros,62.5747,11.3842,25.806,85,75,0.0,NO,1675316325
338,dingle,10.9995,122.6711,30.166000000000004,72,51,6.99,PH,1675316326
339,lavrentiya,65.5833,-171.0,25.915,96,100,3.54,RU,1675316326
340,anori,-3.7728,-61.6442,29.535000000000004,97,37,1.13,BR,1675316326
341,luena,-11.7833,19.9167,29.031000000000002,94,97,0.44,AO,1675316327
342,santa maria,-29.6842,-53.8069,29.554000000000002,84,3,3.44,BR,1675316232
343,manta,-0.95,-80.7333,29.903,83,40,2.57,EC,1675316327
344,hazorasp,41.3194,61.0742,27.506,90,100,8.92,UZ,1675316327
345,tombouctou,20.0,-3.0,28.697000000000003,18,78,4.59,ML,1675316328
346,mae ramat,16.984,98.5166,30.693,22,45,1.35,TH,1675316328
347,turayf,31.6725,38.6637,27.729000000000003,87,40,6.17,SA,1675316329
